query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
705.18365,HMDB0000757,Glycogen,C00182,C24H42O21,666.2218584,M+K,+,705.185016,2
705.18365,HMDB0001296,Maltotetraose,C02052,C24H42O21,666.2218584,M+K,+,705.185016,2
705.18365,HMDB0030574,"5,7-Dihydroxy-2-(4-{2,4,6-trihydroxy-3-[(2E)-3-(4-hydroxyphenyl)prop-2-enoyl]-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]phenoxy}phenyl)-2,3-dihydro-1-benzopyran-4-one",n/a,C36H32O15,704.1741204,M+H,+,705.181396,3
705.18365,HMDB0039337,Tetramethylquercetin 3-rutinoside,n/a,C31H38O16,666.2159852,M+K,+,705.179143,6
205.15937,HMDB0031776,"(6r,7s)-6,7-epoxy-1,3-tetradecadiyne",n/a,C14H20O,204.1514153,M+H,+,205.158691,3
205.15937,HMDB0036170,2-benzylidene-1-heptanol,n/a,C14H20O,204.1514153,M+H,+,205.158691,3
205.15937,HMDB0041482,3-Benzyl-4-heptanone,n/a,C14H20O,204.1514153,M+H,+,205.158691,3
205.15937,HMDB0013816,"2,4-di-tert-butylphenol",n/a,C14H20O,204.1514153,M+H,+,205.158691,3
469.21897,HMDB0037037,Glycinoeclepin a,C08765,C25H34O7,446.2304534,M+Na,+,469.219671,1
469.21897,HMDB0061106,"(8S,9S,11S,13R,19R)-11,19-dihydroxy-8-(2-hydroxyacetyl)-9,13-dimethyl-6-propyl-5,7-dioxapentacyclo[10.8.0.0²,⁹.0⁴,⁸.0¹³,¹⁸]icosa-14,17-dien-16-one",n/a,C25H34O7,446.2304534,M+Na,+,469.219671,1
719.32991,HMDB0034361,Olitorin,n/a,C35H52O14,696.3357064,M+Na,+,719.324924,7
234.18087,HMDB0011140,Hypusine,n/a,C10H23N3O3,233.1739416,M+H,+,234.181218,1
234.18087,HMDB0037834,Ethyl menthane carboxamide,n/a,C13H25NO,211.1936144,M+Na,+,234.182832,8
177.16461,HMDB0035180,"(6e,8e)-4,6,8-megastigmatriene",n/a,C13H20,176.1565006,M+H,+,177.163777,5
177.16461,HMDB0061826,1-Hexyl-2-methylbenzene,n/a,C13H20,176.1565006,M+H,+,177.163777,5
177.16461,HMDB0061825,Heptylbenzene,n/a,C13H20,176.1565006,M+H,+,177.163777,5
229.15522,HMDB0011174,L-isoleucyl-l-proline,n/a,C11H20N2O3,228.1473925,M+H,+,229.154669,2
229.15522,HMDB0028915,L-isoleucyl-l-proline,n/a,C11H20N2O3,228.1473925,M+H,+,229.154669,2
229.15522,HMDB0011175,L-leucyl-l-proline,n/a,C11H20N2O3,228.1473925,M+H,+,229.154669,2
229.15522,HMDB0028937,L-leucyl-l-proline,n/a,C11H20N2O3,228.1473925,M+H,+,229.154669,2
229.15522,HMDB0061831,cis-.alpha.-irone,n/a,C14H22O,206.1670653,M+Na,+,229.156283,5
229.15522,HMDB0036024,"10-isopropyl-2,7-dimethyl-1-oxaspiro[4.5]deca-3,6-diene",n/a,C14H22O,206.1670653,M+Na,+,229.156283,5
229.15522,HMDB0032397,Methyl-delta-ionone,n/a,C14H22O,206.1670653,M+Na,+,229.156283,5
229.15522,HMDB0013825,4-Tert-octylphenol,C14205,C14H22O,206.1670653,M+Na,+,229.156283,5
229.15522,HMDB0032528,4-Tert-octylphenol,C14205,C14H22O,206.1670653,M+Na,+,229.156283,5
229.15522,HMDB0036023,Etaspirene,n/a,C14H22O,206.1670653,M+Na,+,229.156283,5
229.15522,HMDB0035631,alpha-Irone,C09690,C14H22O,206.1670653,M+Na,+,229.156283,5
229.15522,HMDB0035245,"1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-1-penten-3-one",n/a,C14H22O,206.1670653,M+Na,+,229.156283,5
229.15522,HMDB0031737,Delta-methylionone,n/a,C14H22O,206.1670653,M+Na,+,229.156283,5
229.15522,HMDB0038130,"1-(2,6,6-trimethyl-1-cyclohexen-1-yl)-1-penten-3-one",n/a,C14H22O,206.1670653,M+Na,+,229.156283,5
229.15522,HMDB0031738,"3-methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one",n/a,C14H22O,206.1670653,M+Na,+,229.156283,5
359.12695,HMDB0041838,Beta-zearalenol,C14751,C18H24O5,320.1623739,M+K,+,359.125532,4
359.12695,HMDB0041824,Alpha-zearalenol,C14750,C18H24O5,320.1623739,M+K,+,359.125532,4
359.12695,HMDB0032698,[2-[4-Methyl-2-(2-methylpropanoyloxy)phenyl]oxiran-2-yl]methyl 2-methylpropanoate,n/a,C18H24O5,320.1623739,M+K,+,359.125532,4
359.12695,HMDB0035501,Licoagrochalcone b,n/a,C21H20O4,336.1361591,M+Na,+,359.125377,4
359.12695,HMDB0039609,Curcumin III,n/a,C21H20O4,336.1361591,M+Na,+,359.125377,4
1077.44925,HMDB0010149,Pip3(16:0/18:1(11z)),C00626,C43H84O22P4,1076.44047,M+H,+,1077.447746,1
1077.44925,HMDB0010151,Pip3(18:0/16:1(9z)),C00626,C43H84O22P4,1076.44047,M+H,+,1077.447746,1
1077.44925,HMDB0010150,Pip3(16:0/18:1(9z)),C00626,C43H84O22P4,1076.44047,M+H,+,1077.447746,1
272.99411,HMDB0033352,Cyclobrassinin,n/a,C11H10N2S2,234.0285397,M+K,+,272.991698,9
697.5324,HMDB0012097,Sm(d18:1/14:0),n/a,C37H75N2O6P,674.5362747,M+Na,+,697.525493,10
